id_imovel,nome,host_id,host_nome,bairro,latitude,longitude,tipo,preco,noites_minimas,numero_reviews,ultima_review,reviews_por_mes,hosts_qtd,disponibilidade,reviewss_ultimo_mes
11585184,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1.5 baths,61258815,Gabriela,Copacabana,-22.97587,-43.19058,Entire home/apt,1311.7262280953748,4.0,11,2020-02-26,0.12,1,0,0
11945533,Rental unit in Rio de Janeiro · 4.86 · 3 bedrooms · 4 beds · 2 baths,43770286,Patricia,Leblon,-22.98309,-43.23054,Entire home/apt,1547.7930614729155,2.0,21,2023-02-22,0.25,1,0,1
11619944,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,11739,Eric,Copacabana,-22.97242,-43.18898,Entire home/apt,1311.7262280953748,3.0,9,2023-07-22,0.1,9,0,3
11950217,Rental unit in Rio de Janeiro · 5.0 · 2 bedrooms · 4 beds · 1 bath,63816813,Adriana,Jacarepaguá,-22.96921,-43.39083,Entire home/apt,785.2956685499058,2.0,3,2019-09-30,0.04,2,0,0
11986493,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 2 beds · 1 bath,10427477,Regina,Flamengo,-22.92866,-43.174,Entire home/apt,678.5729442970822,5.0,28,2023-11-21,0.3,1,0,10
12129924,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,65094694,Cesar Augusto,Copacabana,-22.96712,-43.18514,Entire home/apt,1311.7262280953748,2.0,6,2023-02-22,0.08,1,0,3
11898262,Home in Santa Teresa · 4.0 · Studio · 1 bed · 1 bath,63462540,Elisa,Santa Teresa,-22.9207,-43.18823,Entire home/apt,748.8612132352941,6.0,3,2022-05-03,0.13,1,0,0
12227652,Home in Rio de Janeiro · 4.90 · 6 bedrooms · 11 beds · 3.5 baths,32168832,Marcus,Botafogo,-22.95512,-43.19318,Entire home/apt,768.3704453441295,1.0,20,2021-06-14,0.22,9,0,0
12382163,Rental unit in Rio de Janeiro · 4.79 · 1 bedroom · 2 beds · 1 bath,6422051,CrisTemporada,Copacabana,-22.98205,-43.18989,Entire home/apt,1311.7262280953748,2.0,14,2022-05-26,0.18,8,0,0
12579716,Rental unit in Rio de Janeiro · 4.67 · 3 bedrooms · 5 beds · 3 baths,45213849,Marcos,Jacarepaguá,-22.96669,-43.39494,Entire home/apt,785.2956685499058,7.0,3,2022-10-16,0.06,1,0,0
12951208,Rental unit in Rio de Janeiro · 4.75 · 3 bedrooms · 2 beds · 2 baths,71153936,Claudia,Jacarepaguá,-22.97189,-43.38617,Entire home/apt,785.2956685499058,1.0,4,2022-09-11,0.04,1,0,0
12981948,Condo in Rio de Janeiro · 4.88 · 3 bedrooms · 4 beds · 3 baths,24143326,Maria,Leme,-22.96253,-43.17241,Entire home/apt,1059.6032934131736,5.0,43,2023-11-30,0.51,1,0,13
13238714,Rental unit in Rio de Janeiro · 4.50 · 1 bedroom · 1 bed · 1 bath,53732909,Igor,Jardim Botânico,-22.96131,-43.21813,Entire home/apt,1052.197969543147,5.0,6,2022-01-02,0.07,2,0,0
13058237,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,64909043,Thales,Flamengo,-22.93823,-43.17249,Entire home/apt,678.5729442970822,3.0,8,2023-01-02,0.09,1,0,1
13154797,Rental unit in Rio de Janeiro · 4.89 · Studio · 1 bed · 1 bath,10486509,Arno & Igor,Ipanema,-22.98478,-43.20932,Entire home/apt,1726.5436160579536,30.0,135,2023-10-10,1.48,10,0,1
13174626,Rental unit in Rio de Janeiro · 4.80 · 3 bedrooms · 3 beds · 1.5 baths,13235253,Hugo,Copacabana,-22.97799,-43.19489,Entire home/apt,1311.7262280953748,2.0,5,2022-03-01,0.06,1,0,0
13307216,Rental unit in Rio de Janeiro · 5.0 · 3 bedrooms · 2 beds · 1 bath,75181806,Alessandra  E Rafael,Tijuca,-22.92605,-43.22783,Entire home/apt,815.5894495412844,200.0,5,2021-12-01,0.06,1,0,0
13312663,Rental unit in Rio de Janeiro · 5.0 · 3 bedrooms · 5 beds · 2 baths,63816813,Adriana,Jacarepaguá,-22.96948,-43.39108,Entire home/apt,785.2956685499058,2.0,3,2017-09-25,0.03,2,0,0
13318535,Rental unit in Rio de Janeiro · 4.72 · Studio · 2 beds · 1 bath,74507625,Cristel,Copacabana,-22.96471,-43.17932,Entire home/apt,1311.7262280953748,4.0,32,2023-03-21,0.36,1,0,8
13414390,Rental unit in Rio de Janeiro · 4.90 · 1 bedroom · 1 bed · 1.5 baths,45471442,Leonardo,Botafogo,-22.94789,-43.18859,Entire home/apt,768.3704453441295,4.0,70,2022-03-11,0.8,1,0,0
13375425,Rental unit in Rio de Janeiro · 4.93 · 1 bedroom · 1 bed · 1 bath,30238383,Natália,Ipanema,-22.98447,-43.19493,Entire home/apt,1726.5436160579536,2.0,15,2023-05-27,0.17,1,0,5
13545554,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 3 beds · 1 bath,4427752,Ana Maria,Copacabana,-22.96578,-43.1825,Entire home/apt,1311.7262280953748,5.0,4,2019-01-02,0.05,1,0,0
13671358,Rental unit in Rio de Janeiro · 4.58 · 3 bedrooms · 3 beds · 2.5 baths,68056442,Helena,Copacabana,-22.97496,-43.18672,Entire home/apt,1311.7262280953748,4.0,12,2020-02-02,0.13,1,0,0
13671573,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 3 beds · 1 bath,23667548,Tadeu,Ipanema,-22.98276,-43.21143,Entire home/apt,1726.5436160579536,3.0,6,2023-12-02,0.07,2,0,5
13577642,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,48365502,Julia,Gávea,-22.97909,-43.23348,Entire home/apt,1337.5391705069123,6.0,7,2021-01-01,0.13,1,0,0
13584985,Rental unit in Rio de Janeiro · 4.70 · 1 bedroom · 1 shared bath,78432227,Ana,Laranjeiras,-22.93772,-43.18128,Private room,632.6488549618321,3.0,10,2022-09-05,0.11,1,0,0
